Site,Sub-region,ICE-D Short  Name,Latitude,Longitude,LGM_Ice_Thickness (meters above present day ice thickness),Publication
152,"Allegheny Mountains, Mt. Spencer, Mt. Darling","SPC, DAR",-77.26504,-143.3305,500,https://doi.org/10.1130/G21165.1
153,"Fosdick Mountains, Migmatite Ridge",MGM,-76.53926667,-144.49637,500,https://doi.org/10.1130/G21165.1
154,"Swanson Mountains, Mt. Passel",PAS,-76.87283333,-145.02063,500,https://doi.org/10.1130/G21165.1
155,"Sarnoff Mountains, Fleming Peaks",FLM,-77.2547,-144.4395,500,https://doi.org/10.1130/G21165.1
156,"Mt. Murphy massif, Dorrel Rock, Icefall Nunatak, Notebook Cliffs, Kay Peak, Turtle Rock","DORREL, ICEFALL, NOTE, KAYPK, TR",-75.38019793,-111.2009,560 or 824,https://doi.org/10.1016/j.epsl.2020.116501;https://www.pnas.org/action/downloadSupplement?doi=10.1073%2Fpnas.1205385109&file=Appendix.pdf
157,"Bear Peninsula, Hunt Bluff",HB,-74.57908,-111.8871,420,https://doi.org/10.1016/j.quascirev.2017.11.003
158,"Kohler Range, Barter Bluff",BB,-75.159867,-113.97837,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
159,"Kohler Range, Mt. Isherwood",ISH,-74.983217,-113.693833,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
160,"Hudson Mountains, Mt. Manthe",MM,-74.77670834,-99.36335834,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
161,"Pine Island Bay, Lindsey Islands,  Edwards Islands","LINDSI, EDWARDSIS",-73.7025774,-103.0035627,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
162,"Pine Island Bay, Jaynes Islands",JANESIS,-73.969317,-104.13485,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
163,"Hudson Mountains, Maish Nunatak",MAISH,-74.592516,-99.449306,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
164,"Hudson Mountains, Mt. Moses",MOSES,-74.552285,-99.19523167,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
165,"Hudson Mountains, Evans Knoll",EVANSKNOLL,-74.84902,-100.41378,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
166,"Hudson Mountains, Winkie Nunatak",WINKIW,-74.861108,-99.780244,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
167,"Hudson Mountains, Meyers Nunatak",MEYERSN,-74.90527,-98.75059,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
168,"Hudson Mountains, Shepherd Dome",SHEPERD,-74.88180571,-99.53573714,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
169,"Hudson Mountains, Inman Nunatak",INMANN,-74.824905,-98.875315,690,https://doi.org/10.1130/G51326.1;  https://doi.org/10.1029/2020JF005877
